"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
6,505347600E-1;2,360818386E-1;-3,515267372E-1;7,378845215E-1;8,507521663E-1
6,528974640E-1;3,883798718E-1;-3,693785667E-1;8,020515442E-1;9,646585562E-1
6,552624620E-1;4,350697994E-1;-3,880419731E-1;8,718214035E-1;1,048777795E0
6,576251560E-1;5,227281451E-1;-3,365178108E-1;9,584369659E-1;1,142405518E0
6,599903850E-1;5,642390251E-1;-3,086237907E-1;1,029486656E0;1,213860411E0
6,623529250E-1;6,210924387E-1;-2,415790558E-1;9,991884232E-1;1,201038618E0
6,647178560E-1;6,675279140E-1;-1,539649963E-1;1,015445709E0;1,224919885E0
6,670806280E-1;7,134562135E-1;-7,011556625E-2;1,010489464E0;1,238961225E0
6,694457800E-1;6,803420782E-1;4,440307617E-3;1,011251450E0;1,218816866E0
6,718085510E-1;7,166470289E-1;6,347274780E-2;9,459142685E-1;1,188429871E0
6,741734720E-1;8,129348159E-1;1,362800598E-1;9,366407394E-1;1,247690324E0
6,765362140E-1;8,207513690E-1;2,199921608E-1;9,190473557E-1;1,251669846E0
6,789012120E-1;7,760304809E-1;2,844524384E-1;8,090486526E-1;1,156588180E0
6,812639060E-1;6,576085687E-1;3,347353935E-1;7,078237534E-1;1,022502459E0
6,836289040E-1;5,982427597E-1;3,226380348E-1;6,330394745E-1;9,288318886E-1
6,859916760E-1;7,471975088E-1;3,178467751E-1;6,211605072E-1;1,022336082E0
6,883568270E-1;9,417216778E-1;2,163548470E-1;6,117963791E-1;1,143653771E0
6,907193680E-1;8,669934273E-1;1,398806572E-1;6,016712189E-1;1,064543309E0
6,930845200E-1;7,017986774E-1;1,163034439E-1;4,980831146E-1;8,684092721E-1
6,954472910E-1;6,078886986E-1;1,066460609E-1;3,160552979E-1;6,933923878E-1
6,978122120E-1;4,991424084E-1;1,903872490E-1;1,844778061E-1;5,651747600E-1
7,001747870E-1;3,693954349E-1;1,966814995E-1;2,968597412E-2;4,195448207E-1
7,025399380E-1;2,944832444E-1;1,802124977E-1;-1,505842209E-1;3,766597047E-1
7,049027100E-1;2,084068656E-1;1,536216736E-1;-2,693624496E-1;3,736163400E-1
7,072677080E-1;1,731600761E-1;1,211147308E-1;-3,594636917E-1;4,169740228E-1
7,096304020E-1;1,600585580E-1;3,942871094E-2;-3,743305206E-1;4,090191975E-1
7,119953750E-1;1,660256982E-1;-7,613372803E-2;-4,129409790E-1;4,515319802E-1
7,143581460E-1;1,010095477E-1;-5,909204483E-2;-4,136571884E-1;4,298919260E-1
7,167230670E-1;1,033905745E-1;-1,412715912E-1;-4,134321213E-1;4,489692554E-1
7,190858390E-1;7,032096386E-2;-1,229867935E-1;-4,549236298E-1;4,764727676E-1
7,214509900E-1;6,285774708E-2;-1,164655685E-1;-5,496778488E-1;5,653857643E-1
7,238137620E-1;-2,768039703E-2;4,100799561E-2;-5,501241684E-1;5,523445127E-1
7,261786830E-1;-1,372101307E-1;1,593856812E-1;-5,772924423E-1;6,144078281E-1
7,285414540E-1;-1,636519432E-1;1,906156540E-1;-6,921372414E-1;7,363221081E-1
7,309064520E-1;-1,344140768E-1;2,487111092E-1;-7,930750847E-1;8,419575107E-1
7,332691460E-1;-4,347658157E-2;2,276248932E-1;-8,377213478E-1;8,691837330E-1
